Block,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"19785952","2024-05-03 00:16:35","159","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","13,402,649","44.68%","-11%","30,000,000","5.26 Gwei","0.00793 ETH","0.070627","89.90%"
"19785951","2024-05-03 00:16:23","82","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","5,426,441","18.09%","-64%","30,000,000","5.72 Gwei","0.00286 ETH","0.031074","91.57%"
"19785950","2024-05-03 00:16:11","129","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,034,681","33.45%","-33%","30,000,000","5.97 Gwei","0.02772 ETH","0.059944","68.38%"
"19785949","2024-05-03 00:15:59","208","0xe94f1fa4f27d9d288ffea234bb62e1fbc086ca0c","Fee Recipient: 0xE94...A0c","21,579,219","71.93%","+44%","30,000,000","5.66 Gwei","0.02441 ETH","0.122206","83.35%"
"19785948","2024-05-03 00:15:47","95","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","7,494,295","24.98%","-50%","30,000,000","6.04 Gwei","0.02171 ETH","0.045273","67.58%"
"19785947","2024-05-03 00:15:35","108","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,413,330","34.71%","-31%","30,000,000","6.28 Gwei","0.02076 ETH","0.065407","75.90%"
"19785946","2024-05-03 00:15:23","245","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","23,063,453","76.88%","+54%","30,000,000","5.88 Gwei","0.04934 ETH","0.135742","73.34%"
"19785945","2024-05-03 00:15:11","246","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","19,543,308","65.14%","+30%","30,000,000","5.67 Gwei","0.0311 ETH","0.110828","78.08%"
"19785944","2024-05-03 00:14:59","266","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","22,063,354","73.54%","+47%","30,000,000","5.35 Gwei","0.0312 ETH","0.118164","79.11%"
"19785943","2024-05-03 00:14:47","220","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","18,215,091","60.72%","+21%","30,000,000","5.21 Gwei","0.03088 ETH","0.095008","75.47%"
"19785942","2024-05-03 00:14:35","265","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","23,102,309","77.01%","+54%","30,000,000","4.88 Gwei","0.08084 ETH","0.112878","58.27%"
"19785941","2024-05-03 00:14:23","186","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","19,993,455","66.64%","+33%","30,000,000","4.69 Gwei","0.02853 ETH","0.093785","76.67%"
"19785940","2024-05-03 00:14:11","338","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,947,695","99.83%","+100%","30,000,000","4.17 Gwei","0.08398 ETH","0.124919","59.80%"
"19785939","2024-05-03 00:13:59","168","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","28,781,870","95.94%","+92%","30,000,000","3.74 Gwei","0.15453 ETH","0.107688","41.07%"
"19785938","2024-05-03 00:13:47","46","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","2,237,902","7.46%","-85%","30,000,000","4.18 Gwei","0.00444 ETH","0.009370","67.81%"
"19785937","2024-05-03 00:13:35","102","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,099,624","33.67%","-33%","30,000,000","4.36 Gwei","0.01767 ETH","0.044085","71.38%"
"19785936","2024-05-03 00:13:23","153","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","15,390,819","51.30%","+3%","30,000,000","4.35 Gwei","0.04967 ETH","0.066963","57.41%"
"19785935","2024-05-03 00:13:11","213","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","20,615,269","68.72%","+37%","30,000,000","4.15 Gwei","0.18519 ETH","0.085685","31.63%"
"19785934","2024-05-03 00:12:59","97","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","5,272,120","17.57%","-65%","30,000,000","4.52 Gwei","0.00239 ETH","0.023846","90.86%"
"19785933","2024-05-03 00:12:47","247","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","25,760,655","85.87%","+72%","30,000,000","4.15 Gwei","0.06114 ETH","0.106928","63.62%"
"19785932","2024-05-03 00:12:35","86","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","6,823,439","22.74%","-55%","30,000,000","4.45 Gwei","0.01868 ETH","0.030394","61.93%"
"19785931","2024-05-03 00:12:23","90","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","16,314,089","54.38%","+9%","30,000,000","4.4 Gwei","0.01751 ETH","0.071881","80.41%"
"19785930","2024-05-03 00:12:11","241","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","22,571,447","75.24%","+50%","30,000,000","4.14 Gwei","0.10046 ETH","0.093549","48.22%"
"19785929","2024-05-03 00:11:59","95","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","7,486,849","24.96%","-50%","30,000,000","4.42 Gwei","0.01503 ETH","0.033102","68.77%"
"19785928","2024-05-03 00:11:47","104","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","9,386,615","31.29%","-37%","30,000,000","4.63 Gwei","0.0353 ETH","0.043539","55.22%"
"19785927","2024-05-03 00:11:35","289","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,895,023","99.65%","+99%","30,000,000","4.12 Gwei","0.02484 ETH","0.123353","83.24%"
"19785926","2024-05-03 00:11:23","124","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,154,159","30.51%","-39%","30,000,000","4.33 Gwei","0.0475 ETH","0.039706","45.53%"
"19785925","2024-05-03 00:11:11","120","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","9,492,369","31.64%","-37%","30,000,000","4.54 Gwei","0.00697 ETH","0.043154","86.09%"
"19785924","2024-05-03 00:10:59","148","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","14,239,863","47.47%","-5%","30,000,000","4.57 Gwei","0.0374 ETH","0.065149","63.53%"
"19785923","2024-05-03 00:10:47","145","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","12,098,767","40.33%","-19%","30,000,000","4.68 Gwei","0.02453 ETH","0.056725","69.80%"
"19785922","2024-05-03 00:10:35","101","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","17,629,500","58.77%","+18%","30,000,000","4.58 Gwei","0.02245 ETH","0.080884","78.27%"
"19785921","2024-05-03 00:10:23","243","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","21,900,757","73.00%","+46%","30,000,000","4.33 Gwei","0.0254 ETH","0.095016","78.90%"
"19785920","2024-05-03 00:10:11","99","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","7,932,683","26.44%","-47%","30,000,000","4.6 Gwei","0.01858 ETH","0.036570","66.30%"
"19785919","2024-05-03 00:09:59","225","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","23,466,942","78.22%","+56%","30,000,000","4.3 Gwei","0.03462 ETH","0.101052","74.48%"
"19785918","2024-05-03 00:09:47","118","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,695,885","32.32%","-35%","30,000,000","4.5 Gwei","0.01053 ETH","0.043683","80.57%"
"19785917","2024-05-03 00:09:35","147","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","12,414,955","41.38%","-17%","30,000,000","4.6 Gwei","0.02563 ETH","0.057164","69.04%"
"19785916","2024-05-03 00:09:23","127","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","11,466,223","38.22%","-24%","30,000,000","4.74 Gwei","0.05441 ETH","0.054398","49.99%"
"19785915","2024-05-03 00:09:11","175","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","14,063,274","46.88%","-6%","30,000,000","4.78 Gwei","0.03359 ETH","0.067244","66.69%"
"19785914","2024-05-03 00:08:59","161","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,980,929","99.94%","+100%","30,000,000","4.25 Gwei","0.01231 ETH","0.127444","91.19%"
"19785913","2024-05-03 00:08:47","93","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","8,371,057","27.90%","-44%","30,000,000","4.49 Gwei","0.02247 ETH","0.037665","62.63%"
"19785912","2024-05-03 00:08:35","189","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","15,585,954","51.95%","+4%","30,000,000","4.47 Gwei","0.00714 ETH","0.069786","90.71%"
"19785911","2024-05-03 00:08:23","145","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,086,975","33.62%","-33%","30,000,000","4.66 Gwei","0.03727 ETH","0.047093","55.82%"
"19785910","2024-05-03 00:08:11","169","0x864bd4e84bdf3dcee9f4212dc32f198277056e22","Fee Recipient: 0x864...E22","17,746,657","59.16%","+18%","30,000,000","4.56 Gwei","0.00856 ETH","0.080999","90.44%"
"19785909","2024-05-03 00:07:59","78","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","6,934,214","23.11%","-54%","30,000,000","4.89 Gwei","0.01136 ETH","0.033930","74.90%"
"19785908","2024-05-03 00:07:47","138","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","11,952,006","39.84%","-20%","30,000,000","5.02 Gwei","0.0106 ETH","0.060006","84.98%"
"19785907","2024-05-03 00:07:35","222","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","29,373,363","97.91%","+96%","30,000,000","4.48 Gwei","0.01134 ETH","0.131697","92.07%"
"19785906","2024-05-03 00:07:23","26","0x7e2a2fa2a064f693f0a55c5639476d913ff12d05","MEV Builder: 0x7e2...D05","1,812,788","6.04%","-88%","30,000,000","5.03 Gwei","0.01274 ETH","0.009131","41.74%"
"19785905","2024-05-03 00:07:11","194","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","23,186,863","77.29%","+55%","30,000,000","4.71 Gwei","0.01231 ETH","0.109336","89.87%"
"19785904","2024-05-03 00:06:59","136","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","12,849,527","42.83%","-14%","30,000,000","4.8 Gwei","0.00838 ETH","0.061696","88.03%"
"19785903","2024-05-03 00:06:47","85","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","8,837,861","29.46%","-41%","30,000,000","5.06 Gwei","0.01688 ETH","0.044732","72.59%"
"19785902","2024-05-03 00:06:35","170","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","28,627,851","95.43%","+91%","30,000,000","4.54 Gwei","0.02519 ETH","0.130119","83.78%"
